item,itemLabel
http://www.wikidata.org/entity/Q1963,Khartoum
http://www.wikidata.org/entity/Q84,London
http://www.wikidata.org/entity/Q16520,Busan
http://www.wikidata.org/entity/Q8673,Lagos
http://www.wikidata.org/entity/Q16666,Nanjing
http://www.wikidata.org/entity/Q18808,Pyongyang
http://www.wikidata.org/entity/Q23430,Ulaanbaatar
http://www.wikidata.org/entity/Q2868,Lima
http://www.wikidata.org/entity/Q3889,Maputo
http://www.wikidata.org/entity/Q2096,Edmonton
http://www.wikidata.org/entity/Q3894,Kampala
http://www.wikidata.org/entity/Q2471,Sanaa
http://www.wikidata.org/entity/Q4709,Barquisimeto
http://www.wikidata.org/entity/Q2256,Birmingham
http://www.wikidata.org/entity/Q956371,Mirzapur
http://www.wikidata.org/entity/Q984788,Haidong
http://www.wikidata.org/entity/Q11736,Tianjin
http://www.wikidata.org/entity/Q2844,Brasília
http://www.wikidata.org/entity/Q3897,Luanda
http://www.wikidata.org/entity/Q3130,Sydney
http://www.wikidata.org/entity/Q4629,Surat
http://www.wikidata.org/entity/Q87,Alexandria
http://www.wikidata.org/entity/Q85,Cairo
http://www.wikidata.org/entity/Q3141,Melbourne
http://www.wikidata.org/entity/Q3921,Harare
http://www.wikidata.org/entity/Q172,Toronto
http://www.wikidata.org/entity/Q3579,Tripoli
http://www.wikidata.org/entity/Q6487,Antalya
http://www.wikidata.org/entity/Q8684,Seoul
http://www.wikidata.org/entity/Q269,Tashkent
http://www.wikidata.org/entity/Q5838,Kabul
http://www.wikidata.org/entity/Q9022,Guadalajara
http://www.wikidata.org/entity/Q11909,Vadodara
http://www.wikidata.org/entity/Q7903,Casablanca
http://www.wikidata.org/entity/Q11725,Chongqing
http://www.wikidata.org/entity/Q11739,Lahore
http://www.wikidata.org/entity/Q3183,Perth
http://www.wikidata.org/entity/Q270,Warsaw
http://www.wikidata.org/entity/Q994,Tbilisi
http://www.wikidata.org/entity/Q3703,Bamako
http://www.wikidata.org/entity/Q852238,Onitsha
http://www.wikidata.org/entity/Q860452,Bilaspur
http://www.wikidata.org/entity/Q1005770,Cacuaco
http://www.wikidata.org/entity/Q30002,Chengdu
http://www.wikidata.org/entity/Q5112,Adelaide
http://www.wikidata.org/entity/Q3711,Belgrade
http://www.wikidata.org/entity/Q3561,Algiers
http://www.wikidata.org/entity/Q3674,Niamey
http://www.wikidata.org/entity/Q1070,Ahmedabad
http://www.wikidata.org/entity/Q1335,Montevideo
http://www.wikidata.org/entity/Q3688,Nouakchott
http://www.wikidata.org/entity/Q956,Beijing
http://www.wikidata.org/entity/Q15174,Shenzhen
http://www.wikidata.org/entity/Q3766,Damascus
http://www.wikidata.org/entity/Q3659,N'Djamena
http://www.wikidata.org/entity/Q1640079,Hyderabad
http://www.wikidata.org/entity/Q34932,Brisbane
http://www.wikidata.org/entity/Q612,Dubai
http://www.wikidata.org/entity/Q3761,Accra
http://www.wikidata.org/entity/Q3748,Monrovia
http://www.wikidata.org/entity/Q1352,Chennai
http://www.wikidata.org/entity/Q1113311,Peshawar
http://www.wikidata.org/entity/Q334,Singapore
http://www.wikidata.org/entity/Q1354,Dhaka
http://www.wikidata.org/entity/Q37400,Naypyidaw
http://www.wikidata.org/entity/Q490,Milan
http://www.wikidata.org/entity/Q37100,Auckland
http://www.wikidata.org/entity/Q36312,Calgary
http://www.wikidata.org/entity/Q1355,Bangalore
http://www.wikidata.org/entity/Q35493,Almaty
http://www.wikidata.org/entity/Q1156,Mumbai
http://www.wikidata.org/entity/Q38545,Adana
http://www.wikidata.org/entity/Q3838,Kinshasa
http://www.wikidata.org/entity/Q37995,Yangon
http://www.wikidata.org/entity/Q3805,Amman
http://www.wikidata.org/entity/Q34647,Johannesburg
http://www.wikidata.org/entity/Q40738,Bursa
http://www.wikidata.org/entity/Q3733,Conakry
http://www.wikidata.org/entity/Q43509,Guayaquil
http://www.wikidata.org/entity/Q3881,Lusaka
http://www.wikidata.org/entity/Q3787,Abuja
http://www.wikidata.org/entity/Q41278,Ulsan
http://www.wikidata.org/entity/Q48403,Amritsar
http://www.wikidata.org/entity/Q1513,Nagpur
http://www.wikidata.org/entity/Q1515,Abidjan
http://www.wikidata.org/entity/Q42956,Harbin
http://www.wikidata.org/entity/Q48278,Medellín
http://www.wikidata.org/entity/Q54880,Valencia
http://www.wikidata.org/entity/Q41183,Aleppo
http://www.wikidata.org/entity/Q3844,Brazzaville
http://www.wikidata.org/entity/Q1533,Caracas
http://www.wikidata.org/entity/Q1362,Islamabad
http://www.wikidata.org/entity/Q52535,Rosario
http://www.wikidata.org/entity/Q69060,Xining
http://www.wikidata.org/entity/Q48338,Kayseri
http://www.wikidata.org/entity/Q51103,Cali
http://www.wikidata.org/entity/Q42941,Agra
http://www.wikidata.org/entity/Q1538,Pune
http://www.wikidata.org/entity/Q72818,Haiphong
http://www.wikidata.org/entity/Q79857,Konya
http://www.wikidata.org/entity/Q44210,Córdoba
http://www.wikidata.org/entity/Q81033,Monterrey
http://www.wikidata.org/entity/Q1726,Munich
http://www.wikidata.org/entity/Q1861,Bangkok
http://www.wikidata.org/entity/Q62823,Barranquilla
http://www.wikidata.org/entity/Q1867,Taipei
http://www.wikidata.org/entity/Q42780,Ningbo
http://www.wikidata.org/entity/Q79980,Varanasi
http://www.wikidata.org/entity/Q93230,Rawalpindi
http://www.wikidata.org/entity/Q80484,Patna
http://www.wikidata.org/entity/Q66568,Kanpur
http://www.wikidata.org/entity/Q81788,Giza
http://www.wikidata.org/entity/Q162442,Allahabad
http://www.wikidata.org/entity/Q66616,Indore
http://www.wikidata.org/entity/Q1858,Hanoi
http://www.wikidata.org/entity/Q158467,Gwalior
http://www.wikidata.org/entity/Q182059,Kumasi
http://www.wikidata.org/entity/Q83317,Mosul
http://www.wikidata.org/entity/Q160450,Samsun
http://www.wikidata.org/entity/Q199605,Guwahati
http://www.wikidata.org/entity/Q200019,Jodhpur
http://www.wikidata.org/entity/Q182984,Kano
http://www.wikidata.org/entity/Q170115,Srinagar
http://www.wikidata.org/entity/Q133118,Şanlıurfa
http://www.wikidata.org/entity/Q134291,Mersin
http://www.wikidata.org/entity/Q200054,Jamshedpur
http://www.wikidata.org/entity/Q124739,Tijuana
http://www.wikidata.org/entity/Q93338,Gaziantep
http://www.wikidata.org/entity/Q83387,Diyarbakır
http://www.wikidata.org/entity/Q92161,Changchun
http://www.wikidata.org/entity/Q183298,Ibadan
http://www.wikidata.org/entity/Q105037,Callao
http://www.wikidata.org/entity/Q183584,Lanzhou
http://www.wikidata.org/entity/Q200123,Ludhiana
http://www.wikidata.org/entity/Q140631,Tainan
http://www.wikidata.org/entity/Q170967,Denizli
http://www.wikidata.org/entity/Q185453,Multan
http://www.wikidata.org/entity/Q200663,Faridabad
http://www.wikidata.org/entity/Q200237,Meerut
http://www.wikidata.org/entity/Q171632,Maracaibo
http://www.wikidata.org/entity/Q185518,Mandalay
http://www.wikidata.org/entity/Q109949,Matola
http://www.wikidata.org/entity/Q115256,Taoyuan
http://www.wikidata.org/entity/Q200713,Aurangabad
http://www.wikidata.org/entity/Q173985,Faisalabad
http://www.wikidata.org/entity/Q187593,Lubumbashi
http://www.wikidata.org/entity/Q200878,Jabalpur
http://www.wikidata.org/entity/Q180921,Omdurman
http://www.wikidata.org/entity/Q225641,Mombasa
http://www.wikidata.org/entity/Q201832,Aligarh
http://www.wikidata.org/entity/Q202162,Aba
http://www.wikidata.org/entity/Q181557,Kaohsiung
http://www.wikidata.org/entity/Q188693,Blantyre
http://www.wikidata.org/entity/Q147402,Zapopan
http://www.wikidata.org/entity/Q157915,Garoua
http://www.wikidata.org/entity/Q228405,Madurai
http://www.wikidata.org/entity/Q485496,Shymkent
http://www.wikidata.org/entity/Q205327,Kananga
http://www.wikidata.org/entity/Q243322,Gujranwala
http://www.wikidata.org/entity/Q243325,Khulna
http://www.wikidata.org/entity/Q500366,Ogbomosho
http://www.wikidata.org/entity/Q207098,Ghaziabad
http://www.wikidata.org/entity/Q530171,Ajman
http://www.wikidata.org/entity/Q194165,Irbid
http://www.wikidata.org/entity/Q207749,Thane
http://www.wikidata.org/entity/Q217040,Tamale
http://www.wikidata.org/entity/Q243327,Changwon
http://www.wikidata.org/entity/Q217426,Soweto
http://www.wikidata.org/entity/Q245023,Taichung
http://www.wikidata.org/entity/Q221436,Maiduguri
http://www.wikidata.org/entity/Q289693,Sharjah
http://www.wikidata.org/entity/Q319660,Mbuji-Mayi
http://www.wikidata.org/entity/Q330531,Kota
http://www.wikidata.org/entity/Q372773,Raipur
