item,itemLabel
http://www.wikidata.org/entity/Q66,Boeing
http://www.wikidata.org/entity/Q285161,iRobot
http://www.wikidata.org/entity/Q292292,AGCO
http://www.wikidata.org/entity/Q206921,Pfizer
http://www.wikidata.org/entity/Q63327,Airbnb
http://www.wikidata.org/entity/Q248,Intel
http://www.wikidata.org/entity/Q295774,Ansys
http://www.wikidata.org/entity/Q162852,SurveyMonkey
http://www.wikidata.org/entity/Q207983,Monsanto
http://www.wikidata.org/entity/Q312,Apple
http://www.wikidata.org/entity/Q305473,IQVIA
http://www.wikidata.org/entity/Q80635,Airgas
http://www.wikidata.org/entity/Q212433,Avaya
http://www.wikidata.org/entity/Q322153,Meritor
http://www.wikidata.org/entity/Q173476,Cummins
http://www.wikidata.org/entity/Q174198,Gartner
http://www.wikidata.org/entity/Q213660,LinkedIn
http://www.wikidata.org/entity/Q214346,Viacom
http://www.wikidata.org/entity/Q327247,ASICS
http://www.wikidata.org/entity/Q327646,Enron
http://www.wikidata.org/entity/Q128896,AMD
http://www.wikidata.org/entity/Q2283,Microsoft
http://www.wikidata.org/entity/Q182477,Nvidia
http://www.wikidata.org/entity/Q135325,Alcoa
http://www.wikidata.org/entity/Q143435,Unum
http://www.wikidata.org/entity/Q144060,Cray
http://www.wikidata.org/entity/Q214763,ConocoPhillips
http://www.wikidata.org/entity/Q3884,Amazon
http://www.wikidata.org/entity/Q152433,Xerox
http://www.wikidata.org/entity/Q334800,PepsiCo
http://www.wikidata.org/entity/Q219508,Citigroup
http://www.wikidata.org/entity/Q191715,WarnerMedia
http://www.wikidata.org/entity/Q219635,BlackRock
http://www.wikidata.org/entity/Q221062,DuPont
http://www.wikidata.org/entity/Q153417,Kroger
http://www.wikidata.org/entity/Q156238,ExxonMobil
http://www.wikidata.org/entity/Q255381,Pinterest
http://www.wikidata.org/entity/Q19900,Oracle
http://www.wikidata.org/entity/Q1928814,PeopleSoft
http://www.wikidata.org/entity/Q1937503,Terex
http://www.wikidata.org/entity/Q625708,Aramark
http://www.wikidata.org/entity/Q628051,Autodesk
http://www.wikidata.org/entity/Q202210,GameStop
http://www.wikidata.org/entity/Q26049,Aetna
http://www.wikidata.org/entity/Q256598,SemGroup
http://www.wikidata.org/entity/Q259011,Motorola
http://www.wikidata.org/entity/Q637440,Lazard
http://www.wikidata.org/entity/Q637474,Visteon
http://www.wikidata.org/entity/Q260833,SanDisk
http://www.wikidata.org/entity/Q3067119,Fastenal
http://www.wikidata.org/entity/Q1943468,Molex
http://www.wikidata.org/entity/Q35339,WWE
http://www.wikidata.org/entity/Q2021416,Volcom
http://www.wikidata.org/entity/Q1770710,Tripadvisor
http://www.wikidata.org/entity/Q1780382,Weyerhaeuser
http://www.wikidata.org/entity/Q642271,Cigna
http://www.wikidata.org/entity/Q645525,SunPower
http://www.wikidata.org/entity/Q35476,AT&T
http://www.wikidata.org/entity/Q1784126,Koppers
http://www.wikidata.org/entity/Q5567305,Glaukos
http://www.wikidata.org/entity/Q5570954,GlobeImmune
http://www.wikidata.org/entity/Q5591659,Graco
http://www.wikidata.org/entity/Q5592433,GrafTech
http://www.wikidata.org/entity/Q3156887,JDSU
http://www.wikidata.org/entity/Q3191419,Piksel
http://www.wikidata.org/entity/Q37156,IBM
http://www.wikidata.org/entity/Q656165,Halliburton
http://www.wikidata.org/entity/Q658789,Garmin
http://www.wikidata.org/entity/Q37158,Starbucks
http://www.wikidata.org/entity/Q3344170,Upwork
http://www.wikidata.org/entity/Q5629432,HEICO
http://www.wikidata.org/entity/Q1817174,Supermicro
http://www.wikidata.org/entity/Q1835753,Splunk
http://www.wikidata.org/entity/Q3482689,Shutterstock
http://www.wikidata.org/entity/Q3492619,Sonos
http://www.wikidata.org/entity/Q3372572,Mannatech
http://www.wikidata.org/entity/Q3421578,RealD
http://www.wikidata.org/entity/Q5647768,Hanesbrands
http://www.wikidata.org/entity/Q5683881,Havertys
http://www.wikidata.org/entity/Q5690400,HealthSouth
http://www.wikidata.org/entity/Q5748967,Hexcel
http://www.wikidata.org/entity/Q1665653,Veeco
http://www.wikidata.org/entity/Q1666331,StoneX
http://www.wikidata.org/entity/Q5750102,Hhgregg
http://www.wikidata.org/entity/Q5761967,HillRom
http://www.wikidata.org/entity/Q5881864,HollyFrontier
http://www.wikidata.org/entity/Q5884072,Hologic
http://www.wikidata.org/entity/Q5887924,HomeAway
http://www.wikidata.org/entity/Q38076,McDonald’s
http://www.wikidata.org/entity/Q1729077,Kardex
http://www.wikidata.org/entity/Q1740314,KeyBank
http://www.wikidata.org/entity/Q682047,SuperValu
http://www.wikidata.org/entity/Q3540193,Wayfair
http://www.wikidata.org/entity/Q3552887,OneSpan
http://www.wikidata.org/entity/Q3874960,Netezza
http://www.wikidata.org/entity/Q690604,Axon
http://www.wikidata.org/entity/Q1753080,Kmart
http://www.wikidata.org/entity/Q5973741,FXCM
http://www.wikidata.org/entity/Q5983823,Avangrid
http://www.wikidata.org/entity/Q5987232,Idacorp
http://www.wikidata.org/entity/Q6007092,Imperva
http://www.wikidata.org/entity/Q6015591,Incyte
http://www.wikidata.org/entity/Q6029685,Infinera
http://www.wikidata.org/entity/Q6032595,Ingles
http://www.wikidata.org/entity/Q715583,Costco
http://www.wikidata.org/entity/Q5906990,Hortonworks
http://www.wikidata.org/entity/Q5923178,Itron
http://www.wikidata.org/entity/Q5926631,HubSpot
http://www.wikidata.org/entity/Q5972875,IOOF
http://www.wikidata.org/entity/Q5012733,CLECO
http://www.wikidata.org/entity/Q5017084,CafePress
http://www.wikidata.org/entity/Q5021439,Calix
http://www.wikidata.org/entity/Q5023914,Calpine
http://www.wikidata.org/entity/Q3973262,Stericycle
http://www.wikidata.org/entity/Q3975878,Stratasys
http://www.wikidata.org/entity/Q3999691,Tronox
http://www.wikidata.org/entity/Q6035325,InnerWorkings
http://www.wikidata.org/entity/Q6044894,InterDigital
http://www.wikidata.org/entity/Q6057493,Intevac
http://www.wikidata.org/entity/Q6101088,Ixia
http://www.wikidata.org/entity/Q6159625,Jarden
http://www.wikidata.org/entity/Q6367245,Kapstone
http://www.wikidata.org/entity/Q6389509,Kennametal
http://www.wikidata.org/entity/Q6398722,Kforce
http://www.wikidata.org/entity/Q6415714,Kirkland's
http://www.wikidata.org/entity/Q5035425,CapitalSource
http://www.wikidata.org/entity/Q5037190,CarMax
http://www.wikidata.org/entity/Q5038056,Carbonite
http://www.wikidata.org/entity/Q5038833,CareFusion
http://www.wikidata.org/entity/Q727697,Coach
http://www.wikidata.org/entity/Q727883,NetApp
http://www.wikidata.org/entity/Q729754,Belo
http://www.wikidata.org/entity/Q4041316,Impinj
http://www.wikidata.org/entity/Q4041486,Intermec
http://www.wikidata.org/entity/Q733482,GoPro
http://www.wikidata.org/entity/Q734338,Verisign
http://www.wikidata.org/entity/Q7557128,TerraVia
http://www.wikidata.org/entity/Q7562151,Sonoco
http://www.wikidata.org/entity/Q7573912,SpartanNash
http://www.wikidata.org/entity/Q7582097,Squarespace
http://www.wikidata.org/entity/Q7160600,Pegasystems
http://www.wikidata.org/entity/Q7168146,Perficient
http://www.wikidata.org/entity/Q5055187,Cavium
http://www.wikidata.org/entity/Q5060140,Centex
http://www.wikidata.org/entity/Q7598289,SP+
http://www.wikidata.org/entity/Q7616390,Stifel
http://www.wikidata.org/entity/Q7638158,Sunrun
http://www.wikidata.org/entity/Q734779,Comscore
http://www.wikidata.org/entity/Q741707,Wabtec
http://www.wikidata.org/entity/Q4045248,NetSuite
http://www.wikidata.org/entity/Q4112833,Caleres
http://www.wikidata.org/entity/Q4356115,ShopHQ
http://www.wikidata.org/entity/Q344935,Acxiom
http://www.wikidata.org/entity/Q356212,Fossil
http://www.wikidata.org/entity/Q7692144,TechTarget
http://www.wikidata.org/entity/Q7695732,Telenav
http://www.wikidata.org/entity/Q7696143,Teleflex
http://www.wikidata.org/entity/Q7701683,Tercica
http://www.wikidata.org/entity/Q7711656,TheStreet
http://www.wikidata.org/entity/Q7251172,LifeVantage
http://www.wikidata.org/entity/Q7259716,PulteGroup
http://www.wikidata.org/entity/Q7208625,Pokertek
http://www.wikidata.org/entity/Q747489,Cyrix
http://www.wikidata.org/entity/Q757489,Atmel
http://www.wikidata.org/entity/Q1645081,Nucor
http://www.wikidata.org/entity/Q4651203,Adtran
http://www.wikidata.org/entity/Q7268255,Quad/Graphics
http://www.wikidata.org/entity/Q7268802,Qualys
http://www.wikidata.org/entity/Q7272057,QuinStreet
http://www.wikidata.org/entity/Q7280252,RadiSys
http://www.wikidata.org/entity/Q768773,MSCI
http://www.wikidata.org/entity/Q7305846,Redfin
http://www.wikidata.org/entity/Q7306001,Redknee
http://www.wikidata.org/entity/Q7313561,Rentrak
http://www.wikidata.org/entity/Q7796156,Thoratec
http://www.wikidata.org/entity/Q7802889,Tillys
http://www.wikidata.org/entity/Q7808537,Tintri
http://www.wikidata.org/entity/Q7825574,Torchmark
http://www.wikidata.org/entity/Q7847309,TrueCar
http://www.wikidata.org/entity/Q4667884,AbioMed
http://www.wikidata.org/entity/Q4672315,BIOVIA
http://www.wikidata.org/entity/Q4677840,Actuant
http://www.wikidata.org/entity/Q4686419,Advaxis
http://www.wikidata.org/entity/Q4692116,Agenus
http://www.wikidata.org/entity/Q844805,Dillard's
http://www.wikidata.org/entity/Q784804,AutoNation
http://www.wikidata.org/entity/Q7847653,Trulia
http://www.wikidata.org/entity/Q7848008,Trupanion
http://www.wikidata.org/entity/Q7850758,TubeMogul
http://www.wikidata.org/entity/Q7858039,Twilio
http://www.wikidata.org/entity/Q7876045,UTStarcom
http://www.wikidata.org/entity/Q7314903,ResMed
http://www.wikidata.org/entity/Q7334682,RingCentral
http://www.wikidata.org/entity/Q7371288,Roundy's
http://www.wikidata.org/entity/Q430745,Teradata
http://www.wikidata.org/entity/Q433896,Altairnano
http://www.wikidata.org/entity/Q851641,Equinix
http://www.wikidata.org/entity/Q852787,Groupon
http://www.wikidata.org/entity/Q7884645,UniFirst
http://www.wikidata.org/entity/Q7893563,Essendant
