item,itemLabel
http://www.wikidata.org/entity/Q115166787,Reman
http://www.wikidata.org/entity/Q16,Canada
http://www.wikidata.org/entity/Q17,Japan
http://www.wikidata.org/entity/Q20,Norway
http://www.wikidata.org/entity/Q801,Israel
http://www.wikidata.org/entity/Q796,Iraq
http://www.wikidata.org/entity/Q25,Wales
http://www.wikidata.org/entity/Q28,Hungary
http://www.wikidata.org/entity/Q811,Nicaragua
http://www.wikidata.org/entity/Q813,Kyrgyzstan
http://www.wikidata.org/entity/Q805,Yemen
http://www.wikidata.org/entity/Q810,Jordan
http://www.wikidata.org/entity/Q33,Finland
http://www.wikidata.org/entity/Q822,Lebanon
http://www.wikidata.org/entity/Q819,Laos
http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q35,Denmark
http://www.wikidata.org/entity/Q836,Myanmar
http://www.wikidata.org/entity/Q34,Sweden
http://www.wikidata.org/entity/Q843,Pakistan
http://www.wikidata.org/entity/Q826,Maldives
http://www.wikidata.org/entity/Q842,Oman
http://www.wikidata.org/entity/Q40,Austria
http://www.wikidata.org/entity/Q37,Lithuania
http://www.wikidata.org/entity/Q41,Greece
http://www.wikidata.org/entity/Q837,Nepal
http://www.wikidata.org/entity/Q43,Turkey
http://www.wikidata.org/entity/Q55,Netherlands
http://www.wikidata.org/entity/Q38,Italy
http://www.wikidata.org/entity/Q858,Syria
http://www.wikidata.org/entity/Q869,Thailand
http://www.wikidata.org/entity/Q846,Qatar
http://www.wikidata.org/entity/Q863,Tajikistan
http://www.wikidata.org/entity/Q79,Egypt
http://www.wikidata.org/entity/Q874,Turkmenistan
http://www.wikidata.org/entity/Q39,Switzerland
http://www.wikidata.org/entity/Q77,Uruguay
http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q881,Vietnam
http://www.wikidata.org/entity/Q902,Bangladesh
http://www.wikidata.org/entity/Q889,Afghanistan
http://www.wikidata.org/entity/Q865,Taiwan
http://www.wikidata.org/entity/Q917,Bhutan
http://www.wikidata.org/entity/Q115,Ethiopia
http://www.wikidata.org/entity/Q114,Kenya
http://www.wikidata.org/entity/Q45,Portugal
http://www.wikidata.org/entity/Q912,Mali
http://www.wikidata.org/entity/Q96,Mexico
http://www.wikidata.org/entity/Q921,Brunei
http://www.wikidata.org/entity/Q155,Brazil
http://www.wikidata.org/entity/Q916,Angola
http://www.wikidata.org/entity/Q184,Belarus
http://www.wikidata.org/entity/Q945,Togo
http://www.wikidata.org/entity/Q924,Tanzania
http://www.wikidata.org/entity/Q954,Zimbabwe
http://www.wikidata.org/entity/Q953,Zambia
http://www.wikidata.org/entity/Q117,Ghana
http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q928,Philippines
http://www.wikidata.org/entity/Q211,Latvia
http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q189,Iceland
http://www.wikidata.org/entity/Q191,Estonia
http://www.wikidata.org/entity/Q962,Benin
http://www.wikidata.org/entity/Q948,Tunisia
http://www.wikidata.org/entity/Q219,Bulgaria
http://www.wikidata.org/entity/Q214,Slovakia
http://www.wikidata.org/entity/Q967,Burundi
http://www.wikidata.org/entity/Q963,Botswana
http://www.wikidata.org/entity/Q218,Romania
http://www.wikidata.org/entity/Q215,Slovenia
http://www.wikidata.org/entity/Q222,Albania
http://www.wikidata.org/entity/Q986,Eritrea
http://www.wikidata.org/entity/Q224,Croatia
http://www.wikidata.org/entity/Q970,Comoros
http://www.wikidata.org/entity/Q977,Djibouti
http://www.wikidata.org/entity/Q228,Andorra
http://www.wikidata.org/entity/Q1006,Guinea
http://www.wikidata.org/entity/Q1009,Cameroon
http://www.wikidata.org/entity/Q227,Azerbaijan
http://www.wikidata.org/entity/Q233,Malta
http://www.wikidata.org/entity/Q232,Kazakhstan
http://www.wikidata.org/entity/Q236,Montenegro
http://www.wikidata.org/entity/Q241,Cuba
http://www.wikidata.org/entity/Q1014,Liberia
http://www.wikidata.org/entity/Q265,Uzbekistan
http://www.wikidata.org/entity/Q1007,Guinea-Bissau
http://www.wikidata.org/entity/Q262,Algeria
http://www.wikidata.org/entity/Q1013,Lesotho
http://www.wikidata.org/entity/Q1016,Libya
http://www.wikidata.org/entity/Q1019,Madagascar
http://www.wikidata.org/entity/Q252,Indonesia
http://www.wikidata.org/entity/Q334,Singapore
http://www.wikidata.org/entity/Q398,Bahrain
http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q229,Cyprus
http://www.wikidata.org/entity/Q1020,Malawi
http://www.wikidata.org/entity/Q1025,Mauritania
http://www.wikidata.org/entity/Q399,Armenia
http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q1029,Mozambique
http://www.wikidata.org/entity/Q1030,Namibia
http://www.wikidata.org/entity/Q347,Liechtenstein
http://www.wikidata.org/entity/Q419,Peru
http://www.wikidata.org/entity/Q1037,Rwanda
http://www.wikidata.org/entity/Q1036,Uganda
http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q1028,Morocco
http://www.wikidata.org/entity/Q657,Chad
http://www.wikidata.org/entity/Q424,Cambodia
http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q1045,Somalia
http://www.wikidata.org/entity/Q1049,Sudan
http://www.wikidata.org/entity/Q414,Argentina
http://www.wikidata.org/entity/Q1032,Niger
http://www.wikidata.org/entity/Q1041,Senegal
http://www.wikidata.org/entity/Q672,Tuvalu
http://www.wikidata.org/entity/Q3908,Galicia
http://www.wikidata.org/entity/Q683,Samoa
http://www.wikidata.org/entity/Q1042,Seychelles
http://www.wikidata.org/entity/Q711,Mongolia
http://www.wikidata.org/entity/Q686,Vanuatu
http://www.wikidata.org/entity/Q695,Palau
http://www.wikidata.org/entity/Q1246,Kosovo
http://www.wikidata.org/entity/Q717,Venezuela
http://www.wikidata.org/entity/Q5705,Catalonia
http://www.wikidata.org/entity/Q34020,Niue
http://www.wikidata.org/entity/Q21203,Aruba
http://www.wikidata.org/entity/Q697,Nauru
http://www.wikidata.org/entity/Q34754,Somaliland
http://www.wikidata.org/entity/Q734,Guyana
http://www.wikidata.org/entity/Q710,Kiribati
http://www.wikidata.org/entity/Q733,Paraguay
http://www.wikidata.org/entity/Q712,Fiji
http://www.wikidata.org/entity/Q907112,Transnistria
http://www.wikidata.org/entity/Q736,Ecuador
http://www.wikidata.org/entity/Q750,Bolivia
http://www.wikidata.org/entity/Q609850,Rus
http://www.wikidata.org/entity/Q769,Grenada
http://www.wikidata.org/entity/Q41470,Kurdistan
http://www.wikidata.org/entity/Q774,Guatemala
http://www.wikidata.org/entity/Q6037274,Mosquitia
http://www.wikidata.org/entity/Q784,Dominica
http://www.wikidata.org/entity/Q766,Jamaica
http://www.wikidata.org/entity/Q1415162,Garðaríki
http://www.wikidata.org/entity/Q790,Haiti
http://www.wikidata.org/entity/Q783,Honduras
http://www.wikidata.org/entity/Q739,Colombia
http://www.wikidata.org/entity/Q794,Iran
