item,itemLabel
http://www.wikidata.org/entity/Q432,Islam
http://www.wikidata.org/entity/Q2384582,Makuya
http://www.wikidata.org/entity/Q2597694,VIANOVA
http://www.wikidata.org/entity/Q2765545,Winti
http://www.wikidata.org/entity/Q3045261,Detachment
http://www.wikidata.org/entity/Q3144420,Hypsistarians
http://www.wikidata.org/entity/Q3303092,mazdaism
http://www.wikidata.org/entity/Q3450786,Sallekhana
http://www.wikidata.org/entity/Q65962805,Umbandism
http://www.wikidata.org/entity/Q67713971,Daijokyo
http://www.wikidata.org/entity/Q88876702,Hangui
http://www.wikidata.org/entity/Q93859297,Houkoukai
http://www.wikidata.org/entity/Q98962452,Undenominationalism
http://www.wikidata.org/entity/Q106645404,Mentanianism
http://www.wikidata.org/entity/Q107668751,Meiteism
http://www.wikidata.org/entity/Q109332975,Baalism
http://www.wikidata.org/entity/Q110498005,Wesenmystik
http://www.wikidata.org/entity/Q113152268,Druzism
http://www.wikidata.org/entity/Q748,Buddhism
http://www.wikidata.org/entity/Q3586012,Harrisme
http://www.wikidata.org/entity/Q4067214,Antonianism
http://www.wikidata.org/entity/Q4777814,Anupa
http://www.wikidata.org/entity/Q4913749,Bimoism
http://www.wikidata.org/entity/Q4955623,Brahmo
http://www.wikidata.org/entity/Q4955624,Brahmoism
http://www.wikidata.org/entity/Q5147615,Collyridianism
http://www.wikidata.org/entity/Q5327307,Earthseed
http://www.wikidata.org/entity/Q5686977,Haymanot
http://www.wikidata.org/entity/Q6084124,preanimism
http://www.wikidata.org/entity/Q6423963,Anglicanism
http://www.wikidata.org/entity/Q7340,Discordianism
http://www.wikidata.org/entity/Q9089,Hinduism
http://www.wikidata.org/entity/Q6981696,Samaritanism
http://www.wikidata.org/entity/Q7415486,Sanamahism
http://www.wikidata.org/entity/Q7433833,Scientism
http://www.wikidata.org/entity/Q7485854,Yarsanism
http://www.wikidata.org/entity/Q11446727,Nyoraikyo
http://www.wikidata.org/entity/Q13446873,Arminianism
http://www.wikidata.org/entity/Q9232,Jainism
http://www.wikidata.org/entity/Q14397660,Pastafarianism
http://www.wikidata.org/entity/Q16726841,Hanolgyo
http://www.wikidata.org/entity/Q18670106,Yazidism
http://www.wikidata.org/entity/Q9268,Judaism
http://www.wikidata.org/entity/Q21151157,cosmotheism
http://www.wikidata.org/entity/Q22906493,Ashurism
http://www.wikidata.org/entity/Q48833389,Daba
http://www.wikidata.org/entity/Q48957376,WinningJahrian
http://www.wikidata.org/entity/Q56075704,asatru
http://www.wikidata.org/entity/Q9581,Confucianism
http://www.wikidata.org/entity/Q9598,Taoism
http://www.wikidata.org/entity/Q9601,Zoroastrianism
http://www.wikidata.org/entity/Q42042,shamanism
http://www.wikidata.org/entity/Q43004,animism
http://www.wikidata.org/entity/Q59774,Wicca
http://www.wikidata.org/entity/Q75809,Lutheranism
http://www.wikidata.org/entity/Q106687,Unitarianism
http://www.wikidata.org/entity/Q131036,Scientology
http://www.wikidata.org/entity/Q161696,Catharism
http://www.wikidata.org/entity/Q204128,Bábism
http://www.wikidata.org/entity/Q259745,witchcraft
http://www.wikidata.org/entity/Q285441,Heathenry
http://www.wikidata.org/entity/Q365138,Ngor
http://www.wikidata.org/entity/Q425381,Hanif
http://www.wikidata.org/entity/Q513638,Cheondoism
http://www.wikidata.org/entity/Q538136,Midewiwin
http://www.wikidata.org/entity/Q588362,Kadam
http://www.wikidata.org/entity/Q611662,Mun
http://www.wikidata.org/entity/Q719688,Theophilanthropy
http://www.wikidata.org/entity/Q740931,Gallicanism
http://www.wikidata.org/entity/Q745955,Thelema
http://www.wikidata.org/entity/Q752660,Candomblé
http://www.wikidata.org/entity/Q837605,Tengrism
http://www.wikidata.org/entity/Q859723,Badimo
http://www.wikidata.org/entity/Q889766,Brahmanism
http://www.wikidata.org/entity/Q1018444,Bwiti
http://www.wikidata.org/entity/Q1081042,Kemetism
http://www.wikidata.org/entity/Q1165471,Daoyuan
http://www.wikidata.org/entity/Q1281268,Eckankar
http://www.wikidata.org/entity/Q1325236,Jadid
http://www.wikidata.org/entity/Q1426400,Homaranismo
http://www.wikidata.org/entity/Q1426922,Ifá
http://www.wikidata.org/entity/Q1431297,Umbanda
http://www.wikidata.org/entity/Q1436850,Gottgläubig
http://www.wikidata.org/entity/Q1571949,ariosophy
http://www.wikidata.org/entity/Q1984195,Modekngei
http://www.wikidata.org/entity/Q2069741,Matha
